"代币","地址","时序记录数","分析数据点","CV%","方向通过","评分","涨幅%","斜率%/步","上涨占比","通过"
"派马","0xa026265e682d5cf46c6cd8160099ec7dc86c4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"财富自由马","0x996fcdc3f402ca35c319692c9871c953e58e4444","22","10","5.657","0/3","21.3","-8.59","-1.6068","33.3%","N"
"Mugi","0xc538007adc32e92b34dbed188c538fdd38a24444","88","10","5.654","3/3","82.0","18.56","1.7574","66.7%","Y"
"神经蛙","0x169f1fc9ea0652d3ea0fc71ff24d8807f8604444","15","10","3.992","0/3","20.2","-8.49","-1.1088","0.0%","N"
"Horse","0xa1054f81d86a468aaa4151bf805760400977ffff","15","10","2.184","0/3","17.6","-4.38","-0.6486","0.0%","N"
"脚子","0xa4777822e82157c2add37c869941b70267004444","15","10","1.227","0/3","17.0","-3.05","-0.2983","0.0%","N"
"马上发财","0xd0680f6e69d2e62293a728ddcdb8868573174444","15","10","4.628","2/3","74.7","9.85","0.4922","22.2%","Y"
"骐骥腾骧，驽骀驰骋","0xd06939254b793f18271ca8af5b94fb2d48ee4444","15","10","4.663","0/3","21.9","-13.68","-0.8605","11.1%","N"
"美国马","0xeffb448df32b6833fa1343b97da91b332cee4444","15","10","0.060","0/3","7.7","-0.12","-0.0182","0.0%","N"
"我踏马来了","0x1d3499178f9a1260b21c4dc5c7ccdcedae5c4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"美国马","0x7f97849ebbb0a3152fe670bc5bea388f39144444","15","10","0.126","3/3","34.0","0.26","0.0375","11.1%","N"
"FOUR","0x0f51da725e19d1093beeffc8cb0575006c8b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"宇宙级祝福","0xc34e28da27832e952ae75bb5cf2dc38c72634444","15","10","0.024","0/3","6.6","-0.05","-0.0066","0.0%","N"
"皇家同花顺","0x81c42477a9a763c315fc944e3b98406897104444","15","10","2.385","0/3","20.5","-6.97","-0.5586","11.1%","N"
"我踏马来了","0x9e37c61c34766ac64da5aa1a52b51817e2134444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马上有奇迹","0x879f36f448da97684be97f21f82b480a8c204444","17","10","33.432","2/3","68.9","39.34","-1.2138","44.4%","Y"
"數學就是數學","0x38bf3fd397e64bc7438e027b7d8e019a0b414444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马到成","0x709d6c2f8a3171c52b047958f3c1a082aa41ffff","15","10","1.730","0/3","17.0","-3.40","-0.5243","0.0%","N"
"永远的死币","0xa28c949160c32c9848f6162c6c5e5cf55efd4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"比特幣","0x0ad7e196dff9dba18abc3834ae1cea10e6374444","87","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"死币","0x9cade9532ec760f3b0fce06914e0b4dbf0b84444","87","10","21.591","0/3","20.7","-27.04","-4.6844","44.4%","N"
"万马奔腾","0xdb4679c5549768665c2963b641db834ff4464444","88","10","10.626","0/3","17.0","-5.23","-1.7745","55.6%","N"
"有求币应","0x3b7747a0817e8057c6978ec7dab26aeba8bd4444","15","10","2.553","0/3","20.6","-7.90","-0.4642","0.0%","N"
"武BOT","0x475013f9eaf08dd46a85915a98cad700241c4444","15","10","1.194","0/3","17.7","-3.84","-0.2171","0.0%","N"
"万马奔腾","0xccd7de6597ad553bbde2ef89a1eec4ff69244444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"天马","0x8af1fd6cfd77d36781d3407ed938bce735144444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"白龙马","0x2a3e2874fb9b46c3f0f3b02aa6333387fb154444","88","10","26.876","3/3","73.3","103.36","8.8195","66.7%","Y"
"黄金甲","0x65e6af0233f26eb604e49fb16d57097c58e64444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"悦己","0x3b195df7c8e7be3e3ac0bdf789f8c7d9914a4444","15","10","2.187","0/3","19.8","-6.84","-0.3976","0.0%","N"
"一年又一年","0x7bf7c5b84cdd1fa20e36caee49a88bc392f34444","24","10","0.476","3/3","56.4","0.22","0.1149","33.3%","N"
"新春快乐🐎","0x813ef11ada1bd76fd57df0cd1fdd27ee13054444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"马上有福","0x5245a5bba0c076d1c805654f291c58bc5cdb4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"永远让大家撸下去","0x3b31e2db3b1e50e8464b5818a1aafb0e469f4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"猫头婴","0xa473315987b43b002cd4dca90da59b05ae274444","15","10","3.057","0/3","18.6","-6.02","-0.9077","0.0%","N"
"驭风歌","0x023315a9008e8e65b529046ac59c7776b8494444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"BNBMOON","0xabcea70734bc5978d1cd2582e97513c82cc64444","15","10","0.003","2/3","22.5","0.01","0.0008","11.1%","N"
"币安之星","0x3e92d728e7e15d9310ec15cc909b757203a54444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"月亮bnb","0x4e3cadfab4222cd6fb3aab98235989d44aae4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"未来一片光明","0x9196cc9f4f7d94baac78e794df3fc1b1e4bc4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"币安龙珠","0x9143cb9a0f5b24212242e91483bc41a77dbc4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"ŻÓŁTA","0x214e136dce7e8137a3fa5bb8c4e1be4be4994444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"古江闪耀着黄色光芒","0x31c8e968c355ed4ef7ffb0474d6afa42265d4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"币安宝珠","0xc775089a3062b08896c39a986e06b467b80a4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"金灿灿","0x43b97d216eac062f5d228376ffe0e1ae36444444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"币安星球","0x3f8b13d6d1de65f1eef4e62aaadef0f5a36e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"万家灯火，链上同庆","0x55a5fe4565bb1fe2a4080ed95b39c399688f4444","15","10","4.745","0/3","21.2","-13.85","-0.8627","0.0%","N"
"马上浇给","0xaf05028c379cab566cc250b79c60d28bd185ffff","15","10","0.706","0/3","15.8","-1.40","-0.2140","0.0%","N"
"X","0x33543fa8add068fe06ed5df1390794ae30af4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"比比骑马","0xf3933ab32031baf0c76db6d158c3daf341924444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"bibi踏马来了","0xcd21b2fa3f9d2b7cb0f969b6c8249da37fdc4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"财神","0xe88c7e31c1f80095211f476089762cedaaed4444","15","10","0.448","0/3","15.5","-0.89","-0.1357","0.0%","N"
"币安马马","0xc810fc27e2a89b8fcdcb42c08cbd474c0dddffff","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"奶奶的最爱","0x470192df91532832134c7db1a62692a7b2424444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"祝大家新年快樂","0xd86da1d86c6d58ad52eba96db2059ef1bffd4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"每日金狗","0x98a8ff49ab0133a7c8bebc8002d6d972ad384444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"每日一金狗","0x94177323cb0eff41c5a6dac213e4fcf1fd5c4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"每日一金狗","0x4c010dde4fd57549a1814f02818e5edbc3dc4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"金狗","0xdf33694f3b8ce5949e03387e38d348f8212b4444","15","10","10.073","0/3","18.7","-24.37","-2.9369","11.1%","N"
"新年快乐","0x9cdfcc37e5207ca47401d93ace050dcba73c4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"GDOG","0xafadd1cf54009190e053335deb98ff948baf4444","88","10","26.618","3/3","75.6","36.38","5.9177","77.8%","Y"
"马拉个币","0xcaeef1e1f098390e312f5d297b08f4dce3824444","15","10","0.538","0/3","15.7","-1.16","-0.1493","0.0%","N"
"策马扬鞭不负韶华","0x40e994369dd9ff70038c1250efebb4256c664444","15","10","1.224","0/3","16.7","-2.65","-0.3399","0.0%","N"
"策马扬鞭","0x053e06a151d6564ad9fb2504a7593375c1084444","25","10","0.367","3/3","57.3","0.47","0.1058","33.3%","N"
"恭喜發財","0xc3a9c263704a3ef1db15b607e604bf826fef4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"蛇遇马","0xfdc77a6f66696037f710557f663b26057d4b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"恭喜发财","0x2309afa178f1a1dd6b5092323fa146a2e96e4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"金马","0x470676ee14b827490698703dcf0be66f58bc4444","15","10","10.096","0/3","18.0","-24.03","-2.4474","0.0%","N"
"horse","0x6a2cb6e5df2e6a26ba27f8a719df2ab497da4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"4723","0xd4bc61a55568d6d8be646c9735fe2da7cfcf4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"金马","0x252be504b70975365e4fceb0b68b359cee184444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"春节快乐","0x1d04ee4e232630e05a89f52efe61ecef329f4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"马年快乐","0x3a9d438b3ddd8b10a657fe97f585eee1844a4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马上有奇迹","0x5a0dc7154c953d55f36a9791e2e891dae80e4444","15","10","2.480","0/3","18.8","-5.90","-0.6883","0.0%","N"
"USHERING","0xfadd838e84b5f4dcfa9234787939ad7fa29a4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"迎接马年","0x4846faa359cd1d43c5a71280e4552c7cf8834444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"金马","0x9be241e8dc6794c497fab103f017617f8a584444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"春节快乐","0x7700743999808d238a57324662760fca28374444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"快乐","0x711c014f60be8f4939d97ca8445497f540af4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"GOLDHORSE","0xfaf08d13c4641c80fc3623a8496cb779a7484444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"BH","0xb2548a00d367bed362c9d887b34fa75a86284444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"马年","0x5c065f45b1c96982a44ce3f198d45a1d264a4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"最难忘的今宵","0xd885b2b0c39032089408aa6110956d8abea1ffff","15","10","0.111","0/3","9.5","-0.21","-0.0301","11.1%","N"
"XPEV","0xaa5340a8ee2bd4c4dc321cd428caf288d0904444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"4723","0x8bae5aa1610bf0207e4c0c035523bb710f8e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"马不停蹄","0x5f42dd17b782705db592972d6c9679fcbff24444","88","10","6.017","0/3","12.8","-0.80","-1.1813","11.1%","N"
"UNK","0xcbf5098080801d09392fdd82e8150d66546e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"火马年","0x873520ffe790fa0390faf6c94588352fa53f4444","20","10","3.619","0/3","21.9","-8.65","-1.1649","22.2%","N"
"年夜饭","0xc61f75da6eddf3ff26c9757107b1815896e8ffff","70","10","30.718","3/3","68.9","114.66","8.6166","44.4%","Y"
"火马","0x62dee5e9374df730452323788c84608ac3584444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"火马","0x457ff50b43272cb4c249095178f3e2a052fc4444","88","10","33.373","3/3","73.3","154.12","9.4352","66.7%","Y"
"马年马到成功","0x2410df8f53e6d4c75be98c729032bc00c76f4444","15","10","1.948","0/3","18.0","-4.69","-0.4722","0.0%","N"
"马凡舒","0x2330c9c07939061f8bfc9513194c28ba18604444","15","10","4.064","0/3","21.6","-12.07","-0.7389","0.0%","N"
"马上有奇迹","0xb3882cdde506cc2a575023a20fe3f8dc51784444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"GMGN新春版","0x67798ea9008d2565eb0e39abd5c2967defe84444","15","10","0.639","0/3","16.0","-1.58","-0.1549","0.0%","N"
"新年好","0x58547a533bdf6dcb5584d1e57889c8e601204444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"立春","0x4e836fa3b8875c739f089e55bfe04584b1fd4444","15","10","0.066","0/3","7.6","-0.17","-0.0161","0.0%","N"
"骐骥驰骋八方跃","0x3c456519be9ce9c7ead05008d570b72b182e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0xf376d4c9a391f71945acc056ea79257c49454444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"功夫模式","0xd0bccfda9c384826af2c942cfd9c48723a174444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"银河机器人","0x8c0aea2b7c6e00263237588273a418d43737ffff","15","10","0.900","3/3","59.6","2.31","0.2220","22.2%","Y"
"Fire Horse","0xc9229ed2d31136cc35745f8aa9e4aaf87e094444","40","10","0.839","3/3","63.4","2.80","0.2285","33.3%","Y"
"鸿蒙智行","0x8a54e481c03e09d426225cc42010936f28d74444","15","10","8.102","0/3","19.1","-23.62","-1.9256","0.0%","N"
"奶奶的最爱","0x91097178d92754817e9ef5d5a8d55e056ab84444","15","10","0.006","0/3","6.1","-0.02","-0.0010","0.0%","N"
"UNK","0xc827056599b2e8d8be1895776b0caf9dffac4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"你准喜欢","0x3887236bf2ad94df9068ec460aaac71eef094444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"你准喜欢","0x7a642b8d04477ab830c1395781d9590809bf4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"LMAOOOOOOOOOOOOO","0x7775bddce7f84f28c59b14a441f9b343dc92ffff","15","10","1.846","0/3","19.5","-6.19","-0.4071","0.0%","N"
"最难忘的今宵","0xd381987b8cc3ce0c57353fdc8eecc7743083ffff","88","10","73.118","3/3","71.1","2084.90","22.8818","55.6%","Y"
"bilibili","0x93559db68dc0ec22c8053b821d6aa404998a4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"大孙子","0xab888a3ed931f7d39a48b01a59470e7230334444","15","10","1.505","0/3","17.9","-4.27","-0.4152","0.0%","N"
"大孙子","0x9f8fab269f5a388fecd18f30510c216608014444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"新年好","0xad3294670aedc46c20e2a6919ccc2cc5b7c44444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"松延动力","0x1f80652c0786ea0310e77a62ec81526ab7174444","15","10","0.278","0/3","11.2","-0.93","-0.0506","0.0%","N"
"师徒四人","0xe4a6b4868aa08c7b229539e69f762edf20bd4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"机器人","0x4b34ecfa75af51e8d7bce632f882b432ef074444","15","10","0.496","0/3","15.6","-1.01","-0.1473","0.0%","N"
"师徒四人","0xf3676831d5c84ee04b9b49daedd4f3249baa4444","15","10","12.648","0/3","18.0","-31.83","-3.4744","0.0%","N"
"小破人","0x71abe68c46f376ed57a97e976e60212e0bb74444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"豆包","0x7ca56823eebf70f384c788356c0cf844e00f4444","88","10","0.452","2/3","50.5","1.53","0.0821","11.1%","N"
"手办","0xb697d5c1adadc289d4e0cab11487799156194444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"手办","0x9d8b4bcad85e1c344223ceeff2e4f0c7ddb54444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"银河机器人","0x37e7b0b4f5ae223c6df24dff56a32cb7d1b6ffff","15","10","0.050","0/3","7.2","-0.12","-0.0121","0.0%","N"
"手办","0x66efa4b0051cc4e4582a58f1e309a72869b84444","15","10","1.340","0/3","17.3","-3.39","-0.4251","0.0%","N"
"鸡气人","0x9cc1b067948bafa361f674af1edf6ae7545c4444","15","10","3.274","0/3","22.0","-10.79","-0.5952","0.0%","N"
"鸡器人","0x18ac703e09aa94475e099b6af4e44766ea324444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0x36e19bd079ade803689d65c4a7df98c3ce064444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"鸡气人","0xfd1e9da2f11e4374d6986d8e6df3d0bec1524444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"机器人","0xe922980e81770ae6daca495c8d62b56142c84444","88","10","1.173","3/3","58.4","2.09","0.3399","22.2%","Y"
"鸡气人","0x5517b26e5f5c6a625e6de5708d8b448f279e4444","15","10","2.981","3/3","66.2","6.63","0.8278","11.1%","Y"
"鸡器人","0x4109eafba4dceb78183d92467f10c939fc524444","15","10","0.379","0/3","14.9","-0.94","-0.0920","0.0%","N"
"机气人","0x147f7ca89f531785465866bad8222775aec64444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"黄马","0x2afb51048dba5279888b134659dccd51a9724444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0x32eb48bf3aa310d0ad5d50e828877ac75bdc4444","15","10","0.432","0/3","15.5","-0.89","-0.1308","0.0%","N"
"鸡气人","0xca5151e6d43c2f37e8342acf1f949e68298f4444","88","10","28.672","3/3","73.3","46.27","5.3891","66.7%","Y"
"哭哭马","0xffc857dab8f9f40cf265abba57c9ae89f0784444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"猴来我终于学会如何去爱","0x6d065340fc09cdfcec17d88439b466a8be804444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"来一个","0x32e899f1e37b560183364954a2d2788dd0424444","15","10","0.471","0/3","14.8","-1.55","-0.0857","0.0%","N"
"后空翻","0x16f998133cf78a23a00f3f9b73af1286f8bc4444","88","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"电死了","0x8ef119fda1ee2f9f117642fbf7295154e82b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0xbaa3a3f36c38699d9b05f489c04d4d8219d24444","15","10","1.579","0/3","16.9","-3.18","-0.4688","0.0%","N"
"猴来","0xac35fafd65636edf9001bd10065462336c014444","15","10","0.653","0/3","15.8","-1.32","-0.1940","0.0%","N"
"鸡气人","0xa56a4bd3545ca7938e7eaaaa6ef149e7afc54444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0xd0346a22042ab852ea1c82d8275ad0a6e5404444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"你确实是个笑话","0x4a36051bcc5840835b7932ca15bf7d5ef5ae4444","15","10","0.961","0/3","16.5","-2.36","-0.2329","0.0%","N"
"鸡气人","0x255a1d4d1e2c6e050cfbdb2394b84c610f384444","87","10","0.778","0/3","17.3","-2.38","-0.1824","11.1%","N"
"booooooot","0x6b63b55980b1058b757fc8e572d9ff4480974444","15","10","0.009","0/3","6.2","-0.03","-0.0016","0.0%","N"
"谈恋爱","0xb77a68c740197af225ea648535f6aab4be1b4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"booooooot","0xa28a0ded5d88c3f76b16b0c31596e003f3324444","15","10","4.430","0/3","21.3","-12.45","-1.2404","0.0%","N"
"鸡气人","0x695d32ac944e6db0cdab2f083bdd7184b89b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"长颈人","0xe2de2d4f32ec1dd1481daf2e507a216d67b74444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"跑步者","0x4e650f4b96509a4b272e895eda9c47fa09b84444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"呃呃呃呃","0x5609376988d992956b7b9dc57fa785d86a8c4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"打断","0x65368a059a2fc2262c18678579ec29e3fa564444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"Runner","0xa9ece19550ee72705665558e65373a357e2e4444","15","10","3.341","0/3","19.2","-6.94","-0.9280","0.0%","N"
"打断","0x16dcc4e48e2d7ca2dd202d18357fa73ade254444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"Galbot","0x86c1aeb17063307fe3fca91817e5e24ce0cc4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0x5d72737ff45770342aa36e757eb6625bea9c4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"粉色衣服","0x1770664896c84c04a8bc6f622cd2ea8420de4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"很高兴认识你","0x919ad550ea13735140fec6b9e7b09e4285354444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"粉色","0xff563a4593150e997d4742cca056311f722d4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"奶奶的粉色衣服","0x3ce452f2efea87a615186e978c1414e2934e4444","15","10","0.002","2/3","22.4","0.01","0.0005","11.1%","N"
"鸡气人","0x7076cc81271fa30a54caccdbba4652c45fef4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"鸡气人","0x3aabf6633eb5b91e4852f485acdc107c3eb54444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0x3c4524594f6539859bc82de58ab4535306b64444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"鸡","0x42a99c9e2e5b9e8f92abc98315f42947441c4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"鸡气人","0xb713dfec519e400abad8d8c1a254f88d157e4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"鸡器人","0x9e4051243102d3afc0d2f7232aad53d8e9754444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"机器奶","0x014ff4e82a81ea27ec7c0c6b66d464e25ab84444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"仿生蔡明","0x0771bcf8aa6bc98840cda6d39558e45fcf614444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"仿生机器人","0x1a34917b1ca0f0b5cf83f92a9824f62578414444","15","10","5.327","0/3","20.8","-10.42","-1.5815","0.0%","N"
"仿生机器人","0x1e5bb1ded6491c280ba67df0c196e3fc99604444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"仿生蔡明","0x7b415d9d854c80f155ce035a802caa4aa2054444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"仿生机器人","0x966d90d4033ac6d7abeb794e95886a905a2c4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"仿生机器人","0xfa8444f5cb50a16c7b16c5ab6a2fd063c9a84444","15","10","0.581","0/3","15.8","-1.26","-0.1615","0.0%","N"
"奶bot","0x1ba4be8df9fd8d9043e2ae0a26a6247c7d004444","16","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"仿生机器人","0xe714c5592a22fc30405cfb714dff18ae465f4444","16","10","1.171","0/3","17.8","-3.90","-0.3441","0.0%","N"
"机器人充电","0xad37602ba8d3beadb030c599e48a271d88aa4444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"机器人奶奶","0x3e19d7c7d1f0b40bed71db1599f9d7a862cd4444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"武BOT","0xaf77d5c6d1af8588603b3689c3c6751bfd6f4444","15","10","1.305","0/3","17.6","-3.81","-0.3973","0.0%","N"
"UNK","0x9f13dce89d1965104578552d2d135911cddc4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"宇树机器人","0xe5a1b601804af9df3896e3e1a56524b87c074444","15","10","0.246","0/3","12.9","-0.50","-0.0731","0.0%","N"
"咋BOT","0x31706e629a0d57c407da900ee9635424386e4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"增高","0x79279d13e0144e5f5faa82258fc2d8c59c1c4444","15","10","5.302","0/3","20.8","-10.16","-1.5741","0.0%","N"
"套脖子","0xebbc441336a317fd36b83517726a785dd61a4444","15","10","0.011","2/3","22.9","0.04","0.0020","11.1%","N"
"火马之年","0xc70902d7e2a27799b814a8da33760d87e6c04444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"CodeWiki","0x616104a6644b076bb258da8ed577f22e1e454444","15","10","14.110","0/3","18.7","-25.41","-4.2115","11.1%","N"
"在BSC祝大家新年快乐","0x59bc7d7decb1141a76dd279b95690467165f4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"智造未来","0x7dcc9e7e4e50f5f22a4620f79d65b6bd860e4444","15","10","3.152","0/3","19.8","-7.41","-0.7641","0.0%","N"
"ARKNIGHTS","0x075838acab67bde068195532fedc75efd1db4444","16","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"明日方舟","0x4de40b779057f58cc5df7977a8f159d075c04444","16","10","1.920","0/3","19.3","-6.05","-0.3492","0.0%","N"
"蝦椅蝦椅","0xda3f8b6ce653c064a0363ed02e3fbc7fe0a84444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"㆗͏国制造","0xdeddaf4ff351307f4950ddcb8cac2556cac24444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"㆗͏国制造","0x369c8ea30c540a6aba939dcd2927117b10694444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"made in СНІΝА","0xf58eab876af00ee1bb31767855efb2e757aa4444","15","10","1.261","3/3","58.1","2.81","0.3502","11.1%","Y"
"春晚指数6900","0x73b6251d2d6bd7cc2a60b9fa8e2591c9d1e14444","15","10","3.982","0/3","20.0","-8.19","-1.1058","0.0%","N"
"㆗͏国制造","0xaa0c964cde7419ce5ed443f605476d8753334444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"㆗͏国制造","0x2ecfc93eba5655e4a734bec1ffc7b55ff8134444","16","10","2.753","0/3","18.7","-5.90","-0.8092","0.0%","N"
"㆗͏国制造","0xa9d748ca2611c0041c56fa21727a0a8fc96c4444","16","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"春晚指数6900","0xf5605ead2a10c12df89ec941a4b6bbe0eabc4444","88","10","5.827","3/3","72.8","13.96","1.6191","22.2%","Y"
"㆗͏国制造","0xf8433e46d33e29928c7215a092a37581039a4444","88","10","46.147","0/3","18.0","-59.15","-12.8540","0.0%","N"
"MADE IN СНІΝА","0xfcc87a13f733a2283f552efdba206b6fdd8b4444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"吗的inch","0x5ad7f55d39dbfb3303410f2958ac486114fe4444","16","10","0.074","3/3","29.1","0.15","0.0220","11.1%","N"
